,ride_date,rides,ride_duration_sum,ride_duration_avg,temp_avg,temp_min,temp_max,pres_avg,rhum_avg
48,2018-03-17,278,570.75,570.75,25.111151079136693,18.8,28.1,1009.18309352518,70.12230215827338
49,2018-03-18,283,0.0,,25.652650176678446,18.8,28.3,1007.613074204947,68.26855123674912
50,2018-03-19,497,6893.666666666667,574.4722222222223,25.72354124748491,18.9,29.2,1007.7816901408451,69.04024144869216
51,2018-03-20,493,365.15,182.575,26.122515212981742,19.0,29.1,1008.1772819472617,67.95131845841784
52,2018-03-21,436,547.4166666666666,273.7083333333333,26.307339449541285,19.1,29.7,1009.1261467889908,67.18807339449542
53,2018-03-22,350,0.0,,25.60857142857143,18.7,28.7,1008.538,69.47428571428571
54,2018-03-23,400,1486.9166666666665,743.4583333333333,25.00675,19.2,28.3,1009.1335,74.885
55,2018-03-24,285,0.0,,24.843859649122805,19.4,27.6,1009.6782456140351,72.23508771929825
56,2018-03-25,319,999.4833333333332,999.4833333333332,24.6423197492163,19.2,27.2,1010.7222570532916,72.65830721003135
57,2018-03-26,466,1915.5000000000002,638.5000000000001,24.374678111587983,18.7,26.9,1010.7957081545064,70.83261802575107
58,2018-03-27,509,6487.416666666667,720.8240740740741,24.016699410609036,16.6,28.4,1011.6656188605108,65.51866404715128
59,2018-03-28,515,695.7666666666667,695.7666666666667,24.314368932038835,16.6,28.2,1011.6555339805825,63.429126213592234
60,2018-03-29,432,0.0,,24.009027777777778,16.4,28.2,1010.875462962963,62.594907407407405
61,2018-03-30,316,380.65,380.65,25.366139240506328,16.5,28.5,1009.7987341772152,60.19620253164557
62,2018-03-31,289,0.0,,25.63044982698962,17.4,28.4,1009.310034602076,63.54325259515571
63,2018-04-01,289,13440.933333333332,46.50841983852364,23.33460207612457,17.9,28.6,1009.5622837370242,74.19377162629758
64,2018-04-02,381,7970.916666666667,20.921041119860018,25.978215223097116,18.4,28.0,1008.3488188976379,65.94488188976378
65,2018-04-03,365,10650.4,29.17917808219178,23.478356164383563,18.2,28.7,1008.4567123287671,77.92054794520548
66,2018-04-04,434,13257.066666666668,30.616782140107777,24.688479262672814,18.5,28.7,1007.1285714285714,72.83410138248848
67,2018-04-05,443,10396.183333333332,23.62768939393939,24.512641083521444,18.8,28.7,1007.6604966139954,77.26636568848758
68,2018-04-06,376,8896.683333333332,23.851697944593386,22.86462765957447,18.9,26.1,1008.3117021276596,85.26329787234043
69,2018-04-07,259,9914.333333333334,38.27927927927928,22.992664092664093,18.8,26.0,1009.9382239382239,82.24324324324324
70,2018-04-08,217,10174.516666666666,46.88717357910906,22.84884792626728,18.3,26.0,1012.0147465437789,81.69124423963133
